time;id;myrank;sentvn;mypparent;pparentrank;nneighbors;children;sentDIS;sentDIO;generatedDAO;forwardedDAO;generatedNPDAO;forwardedNPDAO;ttlsent;receivedDIS;receivedDIO;receivedDAO;ttlrcvd;total_energy;forwardeddata;attack
120;8;708;240;1;256;4;1;1;5;4;1;1;1;13;0;14;2;16;145;0;0
120;11;1071;240;5;796;5;1;1;4;4;2;0;0;11;1;19;3;23;191;2;0
120;2;514;240;1;256;7;1;1;5;4;15;0;1;26;0;26;17;43;192;14;0
120;6;830;240;2;518;4;3;1;6;4;11;0;1;23;1;19;12;32;396;11;0
120;18;771;240;19;515;4;0;1;4;3;0;0;0;8;1;15;0;16;124;0;0
120;4;771;240;19;515;3;0;1;6;4;0;1;0;12;1;10;0;11;141;0;0
120;7;1540;240;17;1284;4;0;1;5;3;0;1;0;10;0;13;0;13;146;0;0
120;14;688;240;1;256;5;1;1;5;4;2;1;1;14;1;19;3;23;131;0;0
120;15;1436;240;11;1180;3;1;1;8;4;1;3;1;18;1;10;2;13;241;0;0
120;20;1147;240;5;796;3;0;1;4;4;0;0;0;9;2;10;0;12;177;0;0
120;16;1105;240;6;838;5;0;1;9;6;0;3;0;19;0;16;0;16;286;0;0
120;10;1113;240;6;838;2;0;1;8;4;0;1;0;14;1;8;0;9;210;0;0
120;12;1317;240;5;796;4;0;1;5;3;0;0;0;9;2;11;0;13;213;0;0
120;9;1234;240;5;796;5;1;1;6;4;2;2;2;17;1;21;6;28;305;1;0
120;5;796;240;13;512;8;4;1;5;4;16;1;2;29;1;22;20;43;401;15;0
120;19;515;240;1;256;7;2;1;6;4;6;0;0;17;1;23;6;30;151;6;0
120;17;1131;240;6;838;3;1;1;4;3;2;0;0;10;0;14;2;16;170;3;0
120;13;512;240;1;256;5;1;1;5;4;20;1;2;33;0;19;23;42;186;18;0
120;3;512;240;1;256;3;0;1;4;4;0;0;0;9;0;11;0;11;93;0;0
