time,id,myrank,sentvn,mypparent,pparentrank,nneighbors,children,sentDIS,sentDIO,generatedDAO,forwardedDAO,generatedNPDAO,forwardedNPDAO,ttlsent,receivedDIS,receivedDIO,receivedDAO,ttlrcvd,forwardeddata,attack
360.968,8,730 ,240 ,1 ,256 ,1 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,4 ,0 ,2 ,0 ,2,198 ,0, 0 
361.086,11,1159 ,240 ,5 ,840 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,4 ,0 ,4,258 ,0, 0 
361.132,2,512 ,240 ,1 ,256 ,1 ,0 ,0 ,1 ,1 ,6 ,0 ,0 ,8 ,0 ,2 ,6 ,8,211 ,0, 0 
361.146,6,1099 ,240 ,2 ,512 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,350 ,0, 0 
361.222,18,768 ,240 ,19 ,512 ,0 ,0 ,0 ,2 ,1 ,2 ,0 ,0 ,5 ,0 ,3 ,2 ,5,197 ,0, 0 
361.244,4,918 ,240 ,19 ,512 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,223 ,0, 0 
361.298,7,1038 ,240 ,16 ,782 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,5 ,0 ,5,226 ,0, 0 
361.346,14,670 ,240 ,1 ,256 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,5 ,0 ,5,182 ,0, 0 
361.359,15,1497 ,240 ,11 ,1224 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,319 ,0, 0 
361.368,20,1163 ,240 ,5 ,840 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3,200 ,0, 0 
361.369,16,777 ,240 ,2 ,512 ,0 ,0 ,0 ,2 ,1 ,4 ,0 ,0 ,7 ,0 ,2 ,4 ,6,385 ,0, 0 
361.452,10,1132 ,240 ,14 ,708 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0,195 ,0, 0 
361.49,12,1024 ,240 ,18 ,768 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,4 ,0 ,2 ,0 ,2,230 ,0, 0 
361.604,9,1033 ,240 ,16 ,777 ,0 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,5 ,0 ,3 ,0 ,3,364 ,0, 0 
361.611,5,804 ,240 ,13 ,512 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,402 ,0, 0 
361.615,19,512 ,240 ,1 ,256 ,2 ,0 ,0 ,1 ,1 ,3 ,0 ,0 ,5 ,0 ,4 ,3 ,7,199 ,0, 0 
361.705,17,1113 ,240 ,16 ,782 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,1,278 ,0, 0 
361.779,13,512 ,240 ,1 ,256 ,1 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,4 ,0 ,2 ,1 ,3,240 ,0, 0 
361.795,3,512 ,240 ,1 ,256 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,168 ,0, 0 
480.969,8,768 ,13 ,3 ,512 ,1 ,0 ,0 ,12 ,8 ,5 ,9 ,4 ,38 ,0 ,31 ,11 ,42,363 ,0, 0 
481.087,11,65535 ,13 ,5 ,768 ,0 ,0 ,0 ,16 ,3 ,2 ,6 ,2 ,29 ,0 ,44 ,8 ,52,464 ,0, 0 
481.132,2,512 ,13 ,1 ,256 ,1 ,0 ,0 ,13 ,3 ,5 ,8 ,5 ,34 ,0 ,54 ,14 ,68,518 ,0, 0 
481.147,6,65535 ,14 ,2 ,512 ,1 ,0 ,0 ,13 ,3 ,1 ,4 ,0 ,21 ,0 ,36 ,5 ,41,428 ,0, 0 
